# NSAID zone depth edge out
1493 350 4 0 0
1494 687 6 0 0
1501 350 4 0 0
1503 687 3 0 0
1505 350 4 0 0
1507 22 6 0 0
1514 350 4 0 0
1526 1036 0 1 0
1538 1036 0 1 0
1539 1036 0 1 0
1541 350 6 0 0
1542 1036 0 1 0
1549 687 6 0 0
1559 1036 0 1 0
1566 1036 0 1 0
1569 1036 0 1 0
1570 687 5 0 0
1571 22 4 0 0
1574 1036 0 1 0
1576 687 3 0 0
1600 350 4 0 0
1601 687 5 0 0
1602 350 3 0 0
1604 1036 0 1 0
1606 1036 0 1 0
1611 1036 0 1 0
1643 1036 0 1 0
1644 1036 0 1 0
1645 1036 0 1 0
1646 1036 0 1 0
1647 566 1 0 0
1649 687 5 0 0
1650 1036 0 1 0
1651 598 3 0 0
1658 1036 0 1 0
1666 1036 0 1 0
1668 598 4 0 0
1669 598 3 0 0
1671 566 2 0 0
1672 1036 0 1 0
1673 1036 0 1 0
1674 350 6 0 0
1679 1036 0 1 0
1683 1036 0 1 0
1685 1036 0 1 0
1686 1036 0 1 0
1691 1036 0 1 0
1695 350 7 0 0
1708 1036 0 1 0
1715 1036 0 1 0
1716 687 6 0 0
1722 557 3 0 0
1732 687 7 0 0
1739 687 3 0 0
1741 687 3 0 0
1742 687 6 0 0
1743 350 5 0 0
1745 687 3 0 0
1748 350 5 0 0
1750 350 5 0 0
1751 350 6 0 0
1752 687 5 0 0
1753 687 6 0 0
1754 22 6 0 0
1755 22 6 0 0
1760 687 5 0 0
1762 687 5 0 0
1765 566 1 0 0
1768 350 6 0 0
1770 350 7 0 0
1771 22 6 0 0
1775 22 6 0 0
1777 22 5 0 0
1780 22 5 0 0
1783 350 5 0 0
1784 1036 0 1 0
1786 687 5 0 0
1788 687 4 0 0
1791 350 4 0 0
1792 350 6 0 0
1812 350 4 0 0
1816 350 2 0 0
1819 687 2 0 0
1821 444 2 0 0
1823 687 2 0 0
1832 598 3 0 0
1833 716 1 0 0
1834 350 5 0 0
1837 22 3 0 0
1838 350 5 0 0
1840 687 4 0 0
1841 350 2 0 0
1845 716 1 0 0
1847 687 3 0 0
1849 566 2 0 0
1856 566 1 0 0
1857 687 4 0 0
1858 22 4 0 0
1860 716 2 0 0
1864 687 3 0 0
1872 350 2 0 0
1873 143 2 0 0
1876 350 2 0 0
1878 1036 0 1 0
1880 1036 0 1 0
1882 1036 0 1 0
1885 1036 0 1 0
1888 1036 0 1 0
1889 1036 0 1 0
1891 1036 0 1 0
1892 1036 0 1 0
1893 22 5 0 0
1894 1036 0 1 0
1895 566 3 0 0
1897 143 3 0 0
1898 1036 0 1 0
1900 598 2 0 0
1905 1036 0 1 0
1908 1036 0 1 0
1909 22 7 0 0
1916 1036 0 1 0
1917 1036 0 1 0
1919 1036 0 1 0
1923 566 4 0 0
1924 22 5 0 0
1929 1036 0 1 0
1935 1036 0 1 0
1938 22 4 0 0
1939 22 5 0 0
1943 22 4 0 0
1944 22 5 0 0
1947 22 5 0 0
1948 1036 0 1 0
1952 1036 0 1 0
1956 1036 0 1 0
1958 1036 0 1 0
1959 1036 0 1 0
1965 1036 0 1 0
1966 1036 0 1 0
1967 22 4 0 0
1970 1036 0 1 0
1971 1036 0 1 0
1976 1036 0 1 0
1979 566 2 0 0
1983 716 5 0 0
1993 22 5 0 0
1994 1036 0 1 0
1996 22 4 0 0
1998 1036 0 1 0
2002 716 5 0 0
2006 1036 0 1 0
2009 1036 0 1 0
2014 1036 0 1 0
2015 566 3 0 0
2016 687 4 0 0
2018 830 3 0 0
2019 566 2 0 0
2021 687 5 0 0
2024 22 5 0 0
2031 1036 0 1 0
2036 1036 0 1 0
2039 1036 0 1 0
2042 350 3 0 0
2043 1036 0 1 0
2044 830 3 0 0
2045 1036 0 1 0
2047 1036 0 1 0
2049 830 4 0 0
2050 350 6 0 0
2051 830 3 0 0
2053 830 3 0 0
2056 22 5 0 0
2074 350 3 0 0
2080 1036 0 1 0
2084 350 2 0 0
2088 22 5 0 0
2091 598 3 0 0
2094 716 2 0 0
2095 687 2 0 0
2096 22 4 0 0
2099 687 5 0 0
2107 1036 0 1 0
2115 578 0 0 0
2118 350 5 0 0
2124 22 4 0 0
2126 350 5 0 0
2127 22 5 0 0
2128 1036 0 1 0
2137 1036 0 1 0
2139 22 4 0 0
2147 598 3 0 0
