s,R
1.3690738147629526,0.3313785788598351
1.3770554110822164,0.32950487521197447
1.3850370074014802,0.327749074629923
1.3930186037207442,0.32610706273282863
1.401000200040008,0.324574930033642
1.408981796359272,0.3231489594575899
1.4169633926785357,0.32182561480480204
1.4249449889977994,0.32060153006567077
1.4329265853170634,0.3194734995090251
1.4409081816363272,0.3184384684728572
1.4488897779555912,0.31749352479552695
1.456871374274855,0.31663589083234933
1.4648529705941187,0.3158629160084524
1.4728345669133827,0.3151720698639624
1.4808161632326464,0.3145609355520576
1.4887977595519104,0.31402720375433635
1.4967793558711742,0.31356866698137503
1.5047609521904382,0.3131832142293673
1.512742548509702,0.3128688259664017
1.5207241448289657,0.31262356942429775
1.5287057411482297,0.312445594174035
1.5366873374674934,0.312333127964681
1.5446689337867574,0.3122844728074244
